model_id,run_date,pipeline_version,benchmark,benchmark_split,frozen_evaluation_set,configuration_profile,proxy_corpus_version,random_seed,dataset_version,SLex_aggregate,MaxSpanLen,NgramHits,ProxyCount,SLex_label,sources_reviewed,lexical_items_found,lexical_items_total,lexical_items_found_pct,lexical_strong_overlap_items,lexical_strong_overlap_pct,SSem_aggregate,SMem_aggregate,SProb_aggregate,CRS_raw,CRS,risk_level,safety_override_active,confidence_pct,confidence_level,coverage,signal_agreement,exposure,conflicting_evidence,CPS_mean,kappa_min_mean,SSem_interpretability,SSem_evidence_caveat,SSem_quality_reasons,SSem_parse_failure_rate,SSem_non_choice_rate,EM_rate,NED_mean,refusal_rate,valid_completion_rate,SMem_interpretability,refusal_breakdown,SMem_evidence_caveat,SMem_quality_reasons,UAR_mean,mNED_mean,B_abs,B_anchor,SProb_interpretability,SProb_evidence_caveat,SProb_quality_reasons,SProb_valid_summary_rate,SProb_empty_output_rate,SProb_refusal_or_disclaimer_rate,SProb_meta_answer_rate,SProb_non_summary_rate,SProb_multi_sentence_rate,runs_parquet,outputs_summary,logs_jsonl
gpt4omini,2026-05-16,4.2.0,XSum,XSum / test,master_table_xsum_n300_seed42_v4_dcq4_frozen.parquet (296 items),configs/run_config.yaml,proxy_corpus_ccsum/proxy_structured_merged.csv (108 rows),42,v4_dcq4_frozen,,123,10,1,,GitHub and Kaggle,287,296,97,241,81,1.0,1.0,3.0,0.5333,0.6,HIGH,True,90,HIGH,1.0,0.7037,1.0,False,0.3209,0.2415,HIGH,False,,0.0,0.0,0.0034,0.6917,0.0,1.0,HIGH,,False,,0.9495,0.4701,,,HIGH,False,,0.9794,0.0,0.0,0.0,0.0,0.0206,,outputs/v7_risk_summary_gpt4omini.json,logs/v7_risk_gpt4omini.jsonl
gemini25flash,2026-05-16,4.2.0,XSum,XSum / test,master_table_xsum_n300_seed42_v4_dcq4_frozen.parquet (296 items),configs/run_config.yaml,proxy_corpus_ccsum/proxy_structured_merged.csv (108 rows),42,v4_dcq4_frozen,,123,10,1,,GitHub and Kaggle,287,296,97,241,81,1.0,1.0,3.0,0.5333,0.6,HIGH,True,90,HIGH,1.0,0.7037,1.0,False,0.3649,0.321,HIGH,False,,0.0,0.0,0.0236,0.6337,0.0,1.0,HIGH,,False,,0.7427,0.4084,,,HIGH,False,,0.9953,0.0,0.0,0.0,0.0,0.0047,,outputs/v7_risk_summary_gemini25flash.json,logs/v7_risk_gemini25flash.jsonl
llama31_8b,2026-05-16,4.2.0,XSum,XSum / test,master_table_xsum_n300_seed42_v4_dcq4_frozen.parquet (296 items),configs/run_config.yaml,proxy_corpus_ccsum/proxy_structured_merged.csv (108 rows),42,v4_dcq4_frozen,,123,10,1,,GitHub and Kaggle,287,296,97,241,81,1.0,0.0,2.0,0.3167,0.3167,MODERATE,False,81,HIGH,0.6667,0.7778,1.0,False,0.3108,0.2688,HIGH,False,,0.0,0.0,,0.8692,0.6554,0.3446,LOW,capability_refusal:103; dataset_access_disclaimer:91,True,refusal_rate=0.655,0.9787,0.5918,,,HIGH,False,,0.9977,0.0,0.0,0.0,0.0,0.0023,,outputs/v7_risk_summary_llama31_8b.json,logs/v7_risk_llama31_8b.jsonl
