model_id,run_date,pipeline_version,benchmark,benchmark_split,frozen_evaluation_set,configuration_profile,proxy_corpus_version,random_seed,dataset_version,SLex_aggregate,MaxSpanLen,NgramHits,ProxyCount,SLex_label,sources_reviewed,lexical_items_found,lexical_items_total,lexical_items_found_pct,lexical_strong_overlap_items,lexical_strong_overlap_pct,SSem_aggregate,SMem_aggregate,SProb_aggregate,CRS_raw,CRS,risk_level,safety_override_active,confidence_pct,confidence_level,coverage,signal_agreement,exposure,conflicting_evidence,CPS_mean,kappa_min_mean,SSem_interpretability,SSem_evidence_caveat,SSem_quality_reasons,SSem_parse_failure_rate,SSem_non_choice_rate,EM_rate,NED_mean,refusal_rate,valid_completion_rate,SMem_interpretability,refusal_breakdown,SMem_evidence_caveat,SMem_quality_reasons,UAR_mean,mNED_mean,B_abs,B_anchor,SProb_interpretability,SProb_evidence_caveat,SProb_quality_reasons,SProb_valid_summary_rate,SProb_empty_output_rate,SProb_refusal_or_disclaimer_rate,SProb_meta_answer_rate,SProb_non_summary_rate,SProb_multi_sentence_rate,runs_parquet,outputs_summary,logs_jsonl
gpt4omini,2026-06-02,4.2.0,BBC2025,bbc_news_2025 / test,master_table_bbc2025_n300_seed42_v3_dcq4_frozen.parquet (300 items),configs/run_config_bbc2025.yaml,proxy_corpus_bbc2025/proxy_structured_merged.csv (7121 rows),42,RealTimeData/bbc_news_alltime/2025-06/train,0.0,0,0,0,Not detected,GitHub and Kaggle,0,300,0,0,0,2.0,1.0,3.0,0.65,0.65,HIGH,True,59,LOW,1.0,0.7778,0.0,True,0.4733,0.3804,HIGH,False,,0.0,0.0,0.0133,0.7207,0.0,1.0,HIGH,,False,,0.9307,0.4553,,,HIGH,False,,0.973,0.0,0.0,0.0,0.0,0.027,,outputs_bbc2025/v7_risk_summary_gpt4omini.json,logs_bbc2025/v7_risk_gpt4omini.jsonl
gemini25flash,2026-06-02,4.2.0,BBC2025,bbc_news_2025 / test,master_table_bbc2025_n300_seed42_v3_dcq4_frozen.parquet (300 items),configs/run_config_bbc2025.yaml,proxy_corpus_bbc2025/proxy_structured_merged.csv (7121 rows),42,RealTimeData/bbc_news_alltime/2025-06/train,0.0,0,0,0,Not detected,GitHub and Kaggle,0,300,0,0,0,1.0,1.0,3.0,0.5333,0.6,HIGH,True,57,LOW,1.0,0.7037,0.0,True,0.33,0.2947,HIGH,False,,0.0,0.0,0.01,0.7203,0.0033,0.9967,HIGH,empty:1,False,,0.7832,0.431,,,HIGH,False,,0.9944,0.0,0.0,0.0,0.0,0.0056,,outputs_bbc2025/v7_risk_summary_gemini25flash.json,logs_bbc2025/v7_risk_gemini25flash.jsonl
llama31_8b,2026-06-02,4.2.0,BBC2025,bbc_news_2025 / test,master_table_bbc2025_n300_seed42_v3_dcq4_frozen.parquet (300 items),configs/run_config_bbc2025.yaml,proxy_corpus_bbc2025/proxy_structured_merged.csv (7121 rows),42,RealTimeData/bbc_news_alltime/2025-06/train,0.0,0,0,0,Not detected,GitHub and Kaggle,0,300,0,0,0,1.0,0.0,2.0,0.3167,0.3167,MODERATE,False,48,LOW,0.6667,0.7778,0.0,False,0.4433,0.3838,HIGH,False,,0.0,0.0,0.0,0.849,0.5467,0.4533,LOW,capability_refusal:163; dataset_access_disclaimer:1,True,refusal_rate=0.547,0.9328,0.5301,,,HIGH,False,,0.9983,0.0,0.0,0.0,0.0,0.0017,,outputs_bbc2025/v7_risk_summary_llama31_8b.json,logs_bbc2025/v7_risk_llama31_8b.jsonl
